id,Order,q_id,content,answers,content_en,answers_en
251e7adb-c320-429a-8819-15cf82e678a1,T25-00069,T25-00069,"스트레스로 머리가 지끈거릴 때, 스트레스를 순간 낮추기 위한 당신만의 킥은?","운동, 휴식",,
cd556145-0b02-4352-a775-f513af14a403,T25-00070,T25-00070,당신에게 가장 큰 위로를 안겨 주었던 썰을 하나 공개한다면?,,,
625d3d6b-212a-4419-a0bb-a5209a377acc,T25-00071,T25-00071,"당신의 하루가 힘들었다면, 당신에게 힘을 주는 것은 무엇입니까?","맛있는 음식, 따뜻한 차",,
f5fe46c3-af1e-4b0c-aed3-ec28e9b89923,T25-00072,T25-00072,"당신은 하루를 잘 버텨냈다면,  당신의 '나를 위한 당근'은 무엇입니까?","맛있는 음식, 따뜻한 차",,
5e2c18d9-8170-4216-8e7a-410e13317501,T25-00073,T25-00073,"당신은 스트레스 받는 날,  당신의 기분을 전환시키는 것은 무었입니까?","맛있는 음식, 따뜻한 차",,
582e6c9f-af46-4d19-849b-3a5675aa5f81,T25-00074,T25-00074,"당신은 주말에 날씨가 좋으면,  가장 먼저 떠오르는 것은?","가벼운 산책, 친구와 약속, 데이트",,
2e851db6-69be-4d7f-99c8-1e49c007a461,T25-00075,T25-00075,"낯선 곳에서 새로운 사람을 만나면, 당신은 먼저 다가가는 편인가요?","예, 아니오",,
f2ffe5a5-761c-4b66-a1dd-1e1fcbf852f6,T25-00077,T25-00077,"퇴근 후 당신에게, 넷플릭스 정주행과 온라인 게임 중 더 끌리는 것은?","넷플릭스, 온라인 게임",,
1115cff8-1cbe-479c-b1ab-e3438dca53fd,T25-00079,T25-00079,"너무 지쳐 당신이 어딘가로 떠난다면,  당신의 최종 목적지는?","침대, 바다",,
2174c61f-7754-451c-9260-ac36d3120266,T25-00080,T25-00080,"퇴근 후 당신을 미소 짓게 하는 당신의 소확행은, 무엇인가요?","시원한 맥주, 넷플릭스, 게임, 낮잠",,
4e213ecb-106c-457b-b661-e8786cf2abd4,T25-00081,T25-00081,지친 당신에게 가장 큰 위로가 되는 음식은?,"매운 떡볶이, 달콤한 케이크, 따뜻한 국물, 치킨",,
15bc1680-cc5c-45bb-97c4-12ce40fc6e0e,T25-00082,T25-00082,"먹었는데 살이 찌지 않는다면, 매일 밤 야식으로 먹고 싶은 음식은?","불닭, 치맥, 감자탕",,
eb62e413-d1ff-4127-bef6-fb1232976918,T25-00002,T25-00002,당신은  자신만의 웃긴 춤을 가지고 있나요?,"아이돌 춤 따라하기, 리듬에 몸 맡기기",,
5c6a428c-8b60-4719-a2d2-b164a76f8a66,T25-00083,T25-00083,"당신이 몰입할 수 있는 새로운 취미를 시작한다면, 어떤 분야입니까?","그림, 베이킹",,
448b7e42-5c88-4129-afb8-510ba3288427,T25-00084,T25-00084,"당신이 새로운 취미를 통해 멋진 나만의 결과물을 만들면, 누구에게 가장 자랑하고 싶나요?","가족, 연인, 친구",,
2cbda0d2-25e5-4ad9-bdb8-66476723fe82,T25-00085,T25-00085,"당신이 야심 차게 시작한 취미 결과물이 누가 봐도 이상하다면, '이것이 바로 현대 미술'이라고 우긴다 or '그냥 예쁘게 봐 달라'고 호소한다 중 어떤 선택입니까?","우긴다, 호소한다",,
7a6760db-1013-4c10-a0d3-156800123d46,T25-00086,T25-00086,"당신이 퇴근 후 집에 오면, 가장 먼저 하는 일은?","샤워, 청소, 세탁기,음식하기",,
c5a34ec0-f3f0-4c20-acf5-7a97fdd28f28,T25-00087,T25-00087,"당신이 뜻밖의 작은 선물을 받으면, 그건 무엇일까요?","향수, 액세서리, 책, 케잌",,
c6882cab-786f-4294-ae36-dc606d9000da,T25-00088,T25-00088,"당신이 지친 하루 끝에 치킨을 시켰는데 서비스로 1.2리터 콜라가 세 병 더 온다면, 당신의 해결책은?","쟁여둔다, 업소에 전화한다, 이웃과 나눈다.",,
563afa40-4df7-4848-8809-38b3959fc7a8,T25-00089,T25-00089,스트레스 풀 때 당신의 가장 확실한 비법은 무엇인가요?,"낮잠, 맛있는 음식",,
0f8dfec1-c08b-4ca5-b97a-bcb26c2175a9,T25-00090,T25-00090,"당신이 에너지가 바닥났을 때,  당신의 몸이 '갑자기 이것!'을 내놓으라고 소리친다면?","달콤한 것, 낮잠",,
6692c1e7-82f8-48ce-8fb3-48bd17115d1d,T25-00091,T25-00091,"활력을 찾을 때"", 당신은 혼자가 좋은가요,"" 친구와 함께가 좋은가요?","혼자, 함께",,
f2508c5c-95a7-4565-a3b3-b44d813db259,T25-00092,T25-00092,"지친 당신이 다시 충전될 때, 당신의 특별한 '힐링 의식'은 무엇인가요?","음악 감상, 달콤한 낮잠",,
f33f8907-c42e-43b2-a338-fef1abaac53c,T25-00093,T25-00093,기분 전환이 필요할 때 당신이 찾는 음식은?,"매콤한 떡볶이, 시원한 맥주",,
8253e36c-cc52-4e1f-81fe-99e48cc0c873,T25-00094,T25-00094,"만약 당신에게 '뭐든지 소멸' 마법이 생긴다면, 당신은 무엇을 가장 먼저 없애고 싶나요?","설거지, 월요병",,
c6c95b66-babe-44d7-9f14-436c71bca8a7,T25-00095,T25-00095,"퇴근 후 지친 몸과 마음을 달래는 당신은, 어떤 방법으로 스트레스를 해소하나요?","운동, 넷플릭스",,
f12124ce-8d4f-4c54-af42-787e85b0c0e6,T25-00096,T25-00096,"세상의 모든 스트레스를 한 입에 날려버릴 수 있는 당신이 있다면, 어떤 맛의 '스트레스 해소 젤리'를 먹을 건가요?","매운맛, 단맛, 딸기맛, 레몬맛",,
cd899910-f437-46f6-a80e-2e659cec735d,T25-00097,T25-00097,"퇴근 후 잠깐의 여유를 즐기는 당신에게, 가장 확실한 '소확행'은 무엇인가요?","따뜻한 차 한 잔, 좋아하는 드라마 시청",,
681b44b8-33b4-43d8-8424-2874254f396a,T25-00101,T25-00101,"예상치 못한 택배의 일찍 도착 알림을 받았을 때, 당신의 마음은?","설렘, 행복함",,
f6b42f89-7eee-4b26-8483-aee464ff8227,T25-00106,T25-00106,"오늘 당신이 먹는 모든 음식이 0칼로리가 된다면, 아니면 당신이 가장 먼저 먹고 싶은 음식은 무엇인가요?","치킨, 케이크",,
f9cd9511-98b7-468b-a307-cb729a70fe87,T25-00108,T25-00108,"만약 당신이 한 달간 모든 걱정을 내려놓고 쉴 수 있다면, 어떤 기상천외한 취미를 시도해볼 건가요?","잠자기, 넷플릭스 정주행",,
6f2461c7-f94b-437a-8333-23314b47695a,T25-00109,T25-00109,"당신이 언젠가 꼭 배우고 싶은, '나를 위한' 새로운 기술이나 취미가 있나요?","악기 연주, 그림 그리기",,
bf840496-99a3-40bc-adc5-3376915b516f,T25-00110,T25-00110,당신에게 가장 편안함을 주는 것이 무엇인가요?,"따뜻한 차, 좋아하는 음악",,
58f9b4a3-3226-48e0-8706-d00a634d3788,T25-00111,T25-00111,당신을 미소 짓게 하는 소소한 순간은 어떤 건가요?,"햇살, 낮잠",,
ff2d8e63-2618-454d-bcec-8aafe4ecd16b,T25-00098,T25-00098,"퇴근 후 당신은 새로운 취미를 시작한다면, 혼자 vs 여러사람?","요리, 운동",,
90421ad3-980c-4ccf-ae32-ff25c0c27213,T25-00099,T25-00099,"당신에게 퇴근 후,  누구와 함께 하고 싶나요?","뿌듯함, 상쾌함",,
c6207e17-3722-4afb-bb65-a791e67afa53,T25-00100,T25-00100,피곤한 당신이 퇴근 후 운동 vs 침대?,"꿀잠, 휴식",,
822fd7c5-6c9f-4f8d-abf1-7daef99f4341,T25-00103,T25-00103,"푹신한 이불 속으로 막 들어갔을 때, 처음 드는 생각은?","따뜻함, 편안함",,
0f3ed019-df4f-4391-abd9-d1cb1c8d4878,T25-00102,T25-00102,"잃어버린 줄 알았던 물건을 찾았을 때, 처음 드는 생각은?","한숨부터 나옴, 눈물부터 나옴, 화가남",,
98eb97b8-72cb-470b-bcac-cfa2c98dbee8,T25-00112,T25-00112,"만약 당신이 한 달 동안 한 가지 음식만 먹어야 한다면, 무엇인가요?","치킨, 라면",,
ef8acf21-da6b-4dde-8b8f-3df97850e828,T25-00113,T25-00113,"고민이 있을 때, 가장 먼저 누구에게 말하나요?","친구, 엄마, 연인, 나 자신, 전문가",,
1d6353c7-a5c1-4944-a13b-a6718b6bcb18,T25-00114,T25-00114,상대방의 어떤 행동에 가장 호감을 느끼나요?,"배려, 솔직함, 유머, 웃는 모습 등",,
bf71dda7-3584-49d1-afd1-366184e1c01c,T25-00115,T25-00115,요즘 당신의 마음을 가장 '심란'하게 하는 것은 무엇인가요?,"미래, 관계, 시험, 경제 문제 등",,
c7aa55aa-d068-4302-8d23-11f9967b7a1a,T25-00116,T25-00116,연애 고민이 생기면 누구에게 가장 먼저 상담하나요?,"친구, 부모님, 나 자신 등등",,
418b86df-5dee-495d-9811-8c19703ad253,T25-00117,T25-00117,가장 중요하다고 생각하는 당신의 가치관은 무엇인가요?,"정직, 자유, 성장, 행복 등등",,
4120e74e-4936-4ba1-9975-7ad107cda02f,T25-00118,T25-00118,일상에서 가장 크게 세대차이를 느끼는 순간은 언제인가요?,"유행어, 스마트폰 사용법, 특정 문화 등등",,
b612d74e-2a45-4faf-bac8-b3c9fd6937ea,T25-00119,T25-00119,호감을 표현할 때 당신의 주된 방법은 무엇인가요?,"선물, 말, 행동, 표현 등",,
82e128cc-24a5-4dd9-a69f-083ee82aa943,T25-00120,T25-00120,고민이 생기면 주로 누구에게 털어놓나요?,"친구, 가족, 나 자신, 전문가 등",,
345bd5eb-00fe-4cb7-98b4-761e2540d106,T25-00121,T25-00121,자신의 성격을 한마디로 표현한다면?,"활발함, 내성적, 꼼꼼함, 자유로움 등",,
c525c3f6-69c2-4f89-8c38-d5610301339e,T25-00122,T25-00122,상대에게 호감이 생기는 순간은 주로 언제인가요?,"눈 마주칠 때, 배려해줄 때, 웃는 모습 등",,
8ec70a31-c73f-460a-bfea-bbcbb510930b,T25-00123,T25-00123,어려운 고민이 생겼을 때 가장 먼저 찾는 사람은 누구인가요?,"친구, 엄마, 연인, 나 자신, 전문가",,
f2e1ef1c-2d0a-483b-a755-30f7f162f122,T25-00124,T25-00124,나의 성격을 한 단어로 표현한다면?,"낙천적, 외향적, 신중함, 활발함, 내성적, 꼼꼼함, 자유로움 등",,
39c85981-6e70-49ff-9e9f-3aa1ebb01803,T25-00125,T25-00125,누군가에게 호감이 생길 때 가장 중요하게 보는 것은 무엇인가요?,"성격, 유머, 가치관 등",,
0f705cfe-5d7e-4a7a-98d3-61d4322c0faf,T25-00127,T25-00127,스스로 자신감이 넘친다고 느낄 때는 언제인가요?,"목표를 이룰 때, 칭찬받을 때 등",,
ffa5d687-b478-40f5-91b6-43289266c372,T25-00128,T25-00128,상대방에게 호감을 느낄 때 가장 먼저 하는 행동은 무엇인가요?,"말 걸기, 웃어주기, 연락하기 등",,
716acfde-2035-4b27-b618-63f4a5e293f5,T25-00129,T25-00129,스스로에 대해 가장 많이 생각하는 순간은 언제인가요?,"밤에 잠들기 전, 혼자 있을 때, 힘든 일 겪을 때 등",,
0ad31ac8-c807-4992-b177-25a74c2e9cb0,T25-00130,T25-00130,최근 당신을 설레게 한 새로운 도전은 무엇인가요?,"새로운 일 시작, 여행, 운동, 배움 등",,
df53bcc3-cbca-4cd3-87ea-478f924fa9b3,T25-00131,T25-00131,관심 있는 상대에게 보내는 당신만의 신호는 무엇인가요?,"눈빛, 문자, 선물 등",,
4820edae-cd0b-4219-ac9b-afd48bc55f47,T25-00132,T25-00132,기분이 우울할 때 당신을 달래는 가장 좋은 방법은 무엇인가요?,"음악, 산책, 잠 등",,
1a7d272f-1052-4414-ad12-257d9b69c52f,T25-00133,T25-00133,인생에서 가장 중요하다고 생각하는 가치는 무엇인가요?,"사랑, 자유, 명예 등",,
5717c485-ad4b-4702-b7d1-2ea6698e40a0,T25-00134,T25-00134,연애할 때 가장 중요하다고 생각하는 한 가지는 무엇인가요?,"소통, 신뢰, 성격, 배려 등등",,
fc6f30bc-c938-41a3-bacf-53cfb4a7da17,T25-00135,T25-00135,스트레스를 받을 때 당신을 위로해주는 것은 무엇인가요?,"음악, 잠, 음식, 운동 등등",,
7e23c1db-6932-4d08-b8b9-3428ac90082b,T25-00136,T25-00136,최근 나 자신을 칭찬해주고 싶었던 순간은 언제인가요?,"작은 성취, 새로운 도전, 어려움 극복 등등",,
595dd2d8-cb08-4341-be4d-d425965bddd5,T25-00137,T25-00137,썸 탈 때 가장 설레는 순간은 언제인가요?,"연락 올 때, 눈 마주칠 때 등",,
c5b61502-5c00-4beb-a614-97334b795e38,T25-00138,T25-00138,힘든 하루를 보낸 후 나를 위로하는 나만의 방법은 무엇인가요?,"맛있는 음식, 영화 보기, 잠자기 등",,
813210d1-9076-4f59-b770-49b0c3d9e219,T25-00139,T25-00139,나의 성격을 한 단어로 표현한다면?,"다혈질, 외향적, 계획적 등",,
a21e66b6-93ad-46ed-847d-7f5741c46ca9,T25-00140,T25-00140,이상형의 외모에서 가장 중요하게 보는 부분은 무엇인가요?,"눈, 미소, 분위기, 스타일 등",,
55503a27-f1c2-4be6-b089-e61d1caee3c5,T25-00141,T25-00141,스트레스를 받을 때 주로 하는 행동은 무엇인가요?,"잠자기, 산책, 맛있는 음식 먹기 등",,
c53a5b72-aec0-45f2-aff3-809f1271e722,T25-00142,T25-00142,친구 관계에서 가장 중요하다고 생각하는 가치는 무엇인가요?,"신뢰, 솔직함, 배려 등",,
0cc5d3a1-a1eb-4e45-afe9-2a0b70545a14,T25-00143,T25-00143,연애 고민이 생기면 주로 누구에게 털어놓나요?,"친구, 가족, 전문가, 혼자 등",,
a73d1995-4a8c-41b4-bd9a-547981665485,T25-00144,T25-00144,자신의 성격 중 타인에게 가장 많이 듣는 평가는 무엇인가요?,"섬세하다, 털털하다, 고집 세다, 다정하다 등",,
e3fdb0da-9eb0-415f-aa75-e78212fa5ff8,T25-00145,T25-00145,새로운 인연을 위해 가장 먼저 해보고 싶은 것은 무엇인가요?,"연락하기, 만남 제안, 취미 공유, 고백 등",,
