CodeName,Order,q_id,content,answers,content_en,answers_en
*-*-*-*-*,*-*-*-00017,T26-00017,복잡한 머릿속을 평화롭게 만드는 치트키는?,"따뜻한 차, 명상, 멍때리기",What's your go-to for instant peace of mind?,"Warm tea, meditation, spacing out"
*-*-*-*-*,*-*-*-00018,T26-00018,가장 좋아하는 여행 스타일은?,"모험, 휴양, 드라이브, 맛집탐방",What's your favorite travel style?,"Adventure, relaxation, road trip, food tour"
*-*-*-*-*,*-*-*-00019,T26-00019,나에게 요정 친구가 있다면 어떤 이름일까?,"반짝이, 지니, 냥냥이, 똘똘이","If I had a fairy friend, what would their name be?","Sparkles, Genie, MeowMeow, Smarty"
*-*-*-*-*,*-*-*-00020,T26-00020,오늘 밤의 감성을 한 단어로 표현한다면?,"노을, 별밤, 적막, 화려함",Describe tonight's view in one word.,"Sunset, starlit night, silence, dazzling"
*-*-*-*-*,*-*-*-00021,T26-00021,하루 끝 소소하지만 확실한 행복 루틴은?,"일기쓰기, 통화하기, 반신욕",What's your small but certain happiness routine at the end of the day?,"Journaling, calling someone, a hot bath"
*-*-*-*-*,*-*-*-00022,T26-00022,공돈 백만 원 생기면 제일 먼저 뭐 할 거는?,"맛집투어, 비행기표, 주식, 쇼핑","If you suddenly got a million won, what's the first thing you'd do?","Foodie tour, plane ticket, stocks, shopping"
*-*-*-*-*,*-*-*-00023,T26-00023,어린 시절 추억의 장소는?,"놀이동산, 동네공원, 놀이터, 떡집",What's a childhood place you remember fondly?,"Amusement park, neighborhood park, playground, rice cake shop"
*-*-*-*-*,*-*-*-00024,T26-00024,최근에 배꼽 잡고 웃었던 일은?,"친구 실수, 예능 명장면, 내 실수",What made you laugh 'til you cried recently?,"Friend's blunder, funny TV moment, my own mistake"
*-*-*-*-*,*-*-*-00025,T26-00025,웃다가 진짜 배꼽 빠지면 어떡하나는?,"웃으며 응급실, 정색하고 응급실",What if you laugh so hard your belly button *actually* falls off?,"ER laughing, ER straight-faced"
*-*-*-*-*,*-*-*-00026,T26-00026,오랜 친구와 추억을 남기는 방법은?,"이미지사진, 인생4컷, 여행, 요리",What's your favorite way to make memories with old friends?,"Professional photos, photo booth pics, travel, cooking"
*-*-*-*-*,*-*-*-00027,T26-00027,오늘 아침에 제일 기분 좋았던 순간은?,"모닝커피, 쨍한 햇살, 늦잠",What was the best part of your morning today?,"Morning coffee, bright sunshine, sleeping in"
*-*-*-*-*,*-*-*-00028,T26-00028,만족스러운 하루를 위해 꼭 필요한 루틴은?,"아침 운동, 독서, 맛있는 아침",What's a must-do routine for a satisfying day?,"Morning workout, reading, delicious breakfast"
*-*-*-*-*,*-*-*-00029,T26-00029,길 가다가 넘어졌을 때 제일 먼저 드는 생각은?,"기절한 척?, 벌떡!, 빛의 속도로","If you tripped while walking, what's the first thought that pops into your head?","Fake faint?, get up quick!, speed of light"
*-*-*-*-*,*-*-*-00030,T26-00030,나의 취미를 딱 한마디로 정의한다면?,"단순 재미, 창작 활동, 땀 흘리기","If you could define my hobby in just one phrase, what would it be?","Pure fun, creative activity, breaking a sweat"
*-*-*-*-*,*-*-*-00031,T26-00031,새로운 취미를 고를 때 가장 중요하게 생각하는 것은?,"재미, 간지, 가성비, 함께하기",What's the most important thing to consider when picking up a new hobby?,"Fun, coolness, cost-effectiveness, doing it together"
*-*-*-*-*,*-*-*-00032,T26-00032,집에 어떤 종류의 로봇을 제일 들여놓고 싶은?,"게임봇, 요리봇, 청소봇, 집사봇",What kind of robot would you most want to have at home?,"Gaming bot, cooking bot, cleaning bot, butler bot"
*-*-*-*-*,*-*-*-00033,T26-00033,"긴 하루 끝, 가장 큰 위로는?","차 한잔, 음악, 수다, 애교","After a long day, what's the best comfort?","Tea, music, chat, aegyo (acting cute)"
*-*-*-*-*,*-*-*-00034,T26-00034,나의 잠버릇 스타일은?,"대자로, 새우잠, 이불킥, 코골기",What's your sleeping style like?,"Starfish, fetal position, kicking the blanket, snoring"
*-*-*-*-*,*-*-*-00035,T26-00035,스트레스 받을 때 어디로 도망치는?,"내 침대, 카페, 노래방, 코인육수",Where's your go-to escape when you're stressed?,"My bed, cafe, karaoke, coin laundry"
*-*-*-*-*,*-*-*-00036,T26-00036,하루 중에서 가장 힐링이 되는 시간은?,"새벽 감성, 저녁 노을, 점심시간",What's the most healing time of day for you?,"Dawn vibes, evening sunset, lunchtime"
*-*-*-*-*,*-*-*-00037,T26-00037,기분을 확 좋아지게 만드는 마법의 아이템은?,"햇살, 음악, 초콜릿, 통장",What's your go-to magic item to instantly boost your mood?,"Sunshine, music, chocolate, bank account"
*-*-*-*-*,*-*-*-00038,T26-00038,양말 한 짝 잃어버리면 그냥 버리는?,"새로 산다, 끝까지 찾는다, 짝짝이","When you lose one sock, do you just throw it away?","Buy new ones, keep searching, mismatched socks"
*-*-*-*-*,*-*-*-00039,T26-00039,지칠 때 나만의 충전소는?,"꿀잠, 플레이리스트, 카페인",What's your personal recharge station when you're worn out?,"Good sleep, playlist, caffeine"
*-*-*-*-*,*-*-*-00040,T26-00040,'에라 모르겠다' 하고 저지른 건?,"폭식, 충동구매, 고백, 결근",What's something you've done with a 'whatever' attitude?,"Binge eating, impulse buy, confession, skipping work"
*-*-*-*-*,*-*-*-00041,T26-00041,기분을 리셋하는 나만의 버튼?,"예능 보기, 강아지, 산책, 낮잠",What's your personal 'reset' button?,"Watching comedy, puppy, walk, nap"
*-*-*-*-*,*-*-*-00042,T26-00042,너무 심심할 때 하는 행동?,"친구 전화, 영화 검색, 멍때리기",What do you do when you're super bored?,"Call a friend, browse movies, space out"
*-*-*-*-*,*-*-*-00043,T26-00043,기발하게 스트레스 푸는 법 있어?,"소리 지르기, 혼코노, 무반주 댄스",Got any unique ways to relieve stress?,"Screaming, singing karaoke alone, dancing with no music"
*-*-*-*-*,*-*-*-00044,T26-00044,딱 1시간 자유가 생긴다면?,"꿀잠, 넷플릭스, 게임, 멍때리기","If you had one hour of freedom, what would you do?","Sleep, Netflix, games, spacing out"
*-*-*-*-*,*-*-*-00045,T26-00045,주말 특식으로 먹고 싶은 건?,"갈비, 치킨, 마라탕, 집밥",What special weekend meal do you crave?,"Galbi (Korean BBQ ribs), chicken, mala tang, home-cooked meal"
*-*-*-*-*,*-*-*-00046,T26-00046,"일 년에 하루, 혼자 보낸다면?","하루 종일 잠, 쇼핑 플렉스","If you had a day to yourself once a year, what would you do?","Sleep all day, shopping spree"
*-*-*-*-*,*-*-*-00047,T26-00047,심장을 뛰게 하는 달콤한 유혹?,"디저트, 최애 사진, 여행 특가",What's a sweet temptation that makes your heart flutter?,"Dessert, fave photos, travel deals"
*-*-*-*-*,*-*-*-00048,T26-00048,확실한 행복 위해 오늘 한 일?,"디저트 먹기, 칼퇴, 택배 주문",What's one thing you did today for guaranteed happiness?,"Eating dessert, leaving work on time, ordering delivery"
*-*-*-*-*,*-*-*-00049,T26-00049,꿈에서 5만 원 주우면?,"주인 찾기, 로또 사기, 맛난 거 사먹기","If you found 50,000 won in a dream?","Find the owner, buy a lottery ticket, buy something yummy"
*-*-*-*-*,*-*-*-00050,T26-00050,행운이 오면 누구랑 나눌래?,"가족, 친구, 연인, 나 혼자","If you had good luck, who would you share it with?","Family, friends, partner, myself"
*-*-*-*-*,*-*-*-00051,T26-00051,퇴근 후 나를 웃게 하는 건?,"맥주, 반려동물, 가족, 택배",What makes you smile after work?,"Beer, pets, family, deliveries"
*-*-*-*-*,*-*-*-00052,T26-00052,고민 들어주는 요정에게 할 말?,"연애 상담, 진로, 돈, 인간관계",What would you say to a fairy who listens to your worries?,"Dating advice, career, money, relationships"
*-*-*-*-*,*-*-*-00053,T26-00053,슈퍼히어로 되면 애인에게 뭐 해줘?,"하늘 구경, 순간이동 데이트","If you were a superhero, what would you do for your partner?","Cloud gazing, teleportation date"
*-*-*-*-*,*-*-*-00054,T26-00054,슈퍼히어로 되면 가족에게 뭐 해줘?,"세계여행, 집 짓기, 건강 지키기","If you were a superhero, what would you do for your family?","World travel, build a house, protect their health"
*-*-*-*-*,*-*-*-00055,T26-00055,히어로가 된다면 친구에게 해주고 싶은 것은?,"맛집 배달, 대신 싸워주기","If you were a hero, what would you want to do for your friends?","Deliver good food, fight for them"
*-*-*-*-*,*-*-*-00056,T26-00056,오늘 발견한 소소한 행복은?,"날씨 좋음, 버스 자리, 커피 맛",What's one small happiness you found today?,"Good weather, seat on the bus, coffee flavor"
*-*-*-*-*,*-*-*-00057,T26-00057,성취감을 느낄 때 떠오르는 사람은?,"엄마, 아빠, 절친, 애인",Who do you think of when you feel a sense of accomplishment?,"Mom, Dad, bestie, partner"
*-*-*-*-*,*-*-*-00058,T26-00058,투명인간이 된다면 제일 먼저 가고 싶은 곳은?,"놀이공원, 비행기 일등석, 청와대","If you became invisible, where would you go first?","Amusement park, first-class airplane seat, The Blue House"
*-*-*-*-*,*-*-*-00059,T26-00059,혼밥 할 때 가장 중요한 것은?,"유튜브, 맛, 조용함, 스피드",What's the most important thing when eating alone?,"YouTube, taste, quiet, speed"
*-*-*-*-*,*-*-*-00060,T26-00060,혼밥 중에 있었으면 하는 초능력은?,"설거지 삭제, 무한 리필, 순삭",What superpower would you want while eating alone?,"Disappearing dishes, unlimited refills, instant eating"
*-*-*-*-*,*-*-*-00061,T26-00061,자신 있는 초간단 요리는?,"라면, 볶음밥, 김치찌개, 계란말이",Go-to super easy dish?,"Ramen, fried rice, kimchi stew, rolled omelet"
*-*-*-*-*,*-*-*-00062,T26-00062,나의 에너지 원천은?,"충분한 휴식, 신나는 활동",What fuels my energy?,"Enough rest, fun activities"
*-*-*-*-*,*-*-*-00063,T26-00063,"토요일 아침, 행복을 느끼게 하는 포인트는?","늦잠, 브런치, 고요함",Saturday morning bliss?,"Sleeping in, brunch, quiet time"
*-*-*-*-*,*-*-*-00064,T26-00064,"익숙한 취미 vs 새로운 탐험, 나의 선택은?","깊게 파기, 넓게 경험하기",Stick to familiar hobbies or explore new ones?,"Go deep, experience widely"
*-*-*-*-*,*-*-*-00065,T26-00065,"집밥 vs 배달, 선택 기준은?","귀찮음, 건강, 맛, 시간","Home-cooked meal vs. delivery, what's the deciding factor?","Laziness, health, taste, time"
*-*-*-*-*,*-*-*-00066,T26-00066,요리하다 재료가 왕창 남았을 때는?,"볶음밥, 나눔, 냉동실행",What if you have tons of ingredients left after cooking?,"Fried rice, share, into the freezer"
*-*-*-*-*,*-*-*-00067,T26-00067,장비 풀 장착하고 도전하고 싶은 요리는?,"스테이크, 파스타, 베이킹, 초밥",What dish are you tempted to conquer with fancy equipment?,"Steak, pasta, baking, sushi"
*-*-*-*-*,*-*-*-00068,T26-00068,업무 스트레스 해소하는 나만의 1순위는?,"격한 운동, 시체놀이, 음주가무",Top way to relieve work stress?,"Intense workout, playing dead, drinking and dancing"
*-*-*-*-*,*-*-*-00069,T26-00069,"머리 지끈거릴 때, 나만의 특별한 해결책은?","찬물 세수, 당 충전, 명상",Your go-to move when your head's pounding?,"Cold water splash, sugar rush, meditation"
*-*-*-*-*,*-*-*-00070,T26-00070,내게 가장 큰 위로가 되었던 말 한마디는?,"괜찮아, 수고했어, 밥 먹자",The most comforting thing someone's ever said to you?,"It's okay, you worked hard, let's eat"
*-*-*-*-*,*-*-*-00071,T26-00071,"힘든 하루 끝에, 나를 살리는 것은?","맛난 거, 따뜻한 물, 가족",What saves you after a tough day?,"Good food, warm water, family"
*-*-*-*-*,*-*-*-00072,T26-00072,오늘 하루 버텨낸 나를 위한 보상은?,"치맥, 쇼핑, 칼퇴, 칭찬",What's the treat for making it through today?,"Chicken & beer, shopping, leaving on time, praise"
*-*-*-*-*,*-*-*-00073,T26-00073,"심한 스트레스 받을 때, 나만의 기분 전환법은?","매운 음식, 드라이브, 수다","When super stressed, what's your way to boost your mood?","Spicy food, drive, chat"
*-*-*-*-*,*-*-*-00074,T26-00074,날씨 좋은 주말에 하고 싶은 것은?,"산책, 소풍, 데이트, 낮잠","Perfect sunny weekend, what do you want to do?","Walk, picnic, date, nap"
*-*-*-*-*,*-*-*-00075,T26-00075,낯선 사람에게 먼저 다가가는 편이야?,"먼저 말 걺, 기다림, 도망감",Do you tend to approach strangers first?,"Start talking, wait, run away"
*-*-*-*-*,*-*-*-00076,T26-00076,외계인이 밥 달라고 하면 어쩔 거야?,"준다, 도망간다, 신고한다","If an alien asked you for food, what would you do?","Feed it, Run away, Report it"
*-*-*-*-*,*-*-*-00077,T26-00077,"퇴근 후 넷플릭스 vs 게임, 뭐가 더 끌려?","정주행, 랭크게임, 둘 다","Netflix or gaming after work, which one do you prefer?","Binge-watch, Ranked games, Both"
*-*-*-*-*,*-*-*-00078,T26-00078,"주말엔 캠핑 vs 이불 속, 어디가 좋아?","자연인, 집돌이/집순이","Camping or staying in bed on weekends, which do you prefer?","Nature lover, Homebody"
*-*-*-*-*,*-*-*-00079,T26-00079,번아웃 왔을 때 떠날 곳은?,"제주도, 호캉스, 본가, 산속",Where to escape when burnt out?,"Jeju Island, Staycation, Parent's house, Mountains"
*-*-*-*-*,*-*-*-00080,T26-00080,퇴근 후 나만의 소소하지만 확실한 행복은?,"맥주 한 캔, 예능, 게임, 택배깡","Your little after-work pleasure, what is it?","A can of beer, Variety show, Gaming, Unboxing packages"
*-*-*-*-*,*-*-*-00081,T26-00081,위로가 되는 최애 음식은?,"떡볶이, 케이크, 국밥, 치킨",What's your comfort food?,"Tteokbokki, Cake, Gukbap, Chicken"
*-*-*-*-*,*-*-*-00082,T26-00082,살 안 찌면 매일 야식 먹을 것 같아?,"당연하지, 그래도 건강 걱정","If you didn't gain weight, would you eat late-night snacks every day?","Absolutely, Still worry about health"
*-*-*-*-*,*-*-*-00083,T26-00083,새로 시작하고 싶은 취미 분야는?,"그림, 요리, 악기, 운동","A new hobby field you want to start, what is it?","Drawing, Cooking, Musical instrument, Exercise"
*-*-*-*-*,*-*-*-00084,T26-00084,"취미로 만든 작품, 누구에게 제일 자랑하고 싶어?","가족, 애인, 인스타, 친구",Who do you want to show off your handmade creations to the most?,"Family, Significant other, Instagram, Friends"
*-*-*-*-*,*-*-*-00085,T26-00085,"망친 작품, 예술이라고 우길 거야?","현대미술이야, 노력만 봐줘",Would you insist a ruined artwork is 'art'?,"It's modern art, Appreciate the effort"
*-*-*-*-*,*-*-*-00086,T26-00086,퇴근하고 집에 오면 제일 먼저 뭐 해?,"눕기, 씻기, 옷 갈아입기, 밥",What's the first thing you do when you get home from work?,"Lie down, Shower, Change clothes, Eat"
*-*-*-*-*,*-*-*-00087,T26-00087,뜻밖의 선물로 뭘 받고 싶어?,"꽃, 현금, 손편지, 기프티콘",What unexpected gift would you like to receive?,"Flowers, Cash, Handwritten letter, Gift card"
*-*-*-*-*,*-*-*-00088,T26-00088,치킨 시켰는데 콜라 3병 오면 기분 어떨 것 같아?,"개이득, 사장님께 전화, 나눔","If you ordered chicken and got 3 bottles of coke, how would you feel?","Jackpot, Call the restaurant, Share"
*-*-*-*-*,*-*-*-00089,T26-00089,스트레스 푸는 확실한 비법은?,"잠이 보약, 먹는 게 남는 거","Your sure-fire stress reliever, what is it?","Sleep is the best medicine, Eating is rewarding"
*-*-*-*-*,*-*-*-00090,T26-00090,당 떨어질 때 내 몸이 원하는 것은?,"초콜릿, 믹스커피, 낮잠",What does your body crave when your sugar levels drop?,"Chocolate, Instant coffee, Nap"
*-*-*-*-*,*-*-*-00091,T26-00091,"나만의 에너지 충전 방식은, 혼자 vs 함께?","혼자가 편해, 사람 만나야 풀려",Recharging your batteries: solo or with people?,"Prefer being alone, Need to see people to recharge"
*-*-*-*-*,*-*-*-00092,T26-00092,나만 아는 힐링 의식은?,"향초 켜기, 반신욕, 일기 쓰기",Got a go-to ritual for unwinding?,"Lighting candles, Taking a bath, Journaling"
*-*-*-*-*,*-*-*-00093,T26-00093,기분 전환하고 싶을 때 찾는 소울 푸드는?,"엽떡, 치맥, 삼겹살, 아이스크림",Comfort food for a mood boost?,"Spicy rice cakes, Chicken & beer, Grilled pork belly, Ice cream"
*-*-*-*-*,*-*-*-00094,T26-00094,세상에서 딱 하나 없앨 수 있다면 뭘 없앨 건?,"출근, 살, 미세먼지, 벌레","If you could erase one thing from existence, what would it be?","Commuting, Weight, Fine dust, Bugs"
*-*-*-*-*,*-*-*-00095,T26-00095,지친 몸 달래는 나만의 최고의 방법은?,"사우나, 마사지, 넷플릭스",Best way to soothe a tired body?,"Sauna, Massage, Netflix"
*-*-*-*-*,*-*-*-00096,T26-00096,스트레스 해소 젤리 맛은?,"불닭맛, 민초맛, 딸기맛, 소주맛",What flavor are stress-relief gummies?,"Spicy chicken, Mint chocolate, Strawberry, Soju"
*-*-*-*-*,*-*-*-00097,T26-00097,퇴근 후 누리는 여유는?,"차 한 잔, 멍때리기, 유튜브",Simple pleasures after work?,"A cup of tea, Zoning out, YouTube"
*-*-*-*-*,*-*-*-00098,T26-00098,"퇴근 후 즐기는 취미, 혼자 vs 같이?","동호회, 혼자 조용히",Post-work hobbies: solo or group?,"Club activities, Quiet time alone"
*-*-*-*-*,*-*-*-00099,T26-00099,"퇴근 후 소소한 성취, 누구와 공유하는 편?","SNS, 단톡방, 가족, 애인",Who do you share your small post-work wins with?,"Social media, Group chat, Family, Significant other"
*-*-*-*-*,*-*-*-00100,T26-00100,"운동 대신 눕방, 성과는?","피로 회복, 정신 승리, 행복","Instead of working out, you're lying down. The result?","Recovered from fatigue, Mental victory, Happiness"
*-*-*-*-*,*-*-*-00101,T26-00101,택배 '배송 완료' 알림이 뜬다면?,"칼퇴 본능, 설렘 폭발, 행복",When you get that 'Delivery Complete' notification?,"Bolt out of work, Bursting with excitement, Happiness"
*-*-*-*-*,*-*-*-00102,T26-00102,그렇게 찾아 헤매던 잃어버린 양말 한 짝 찾으면?,"유레카!, 드디어, 찝찝함 해결",Finding that missing sock?,"Eureka!, Finally!, Relief from unease"
*-*-*-*-*,*-*-*-00103,T26-00103,포근한 이불 속에 들어갈 때 기분은?,"녹는다, 천국이다, 이대로 평생",How does it feel getting into bed?,"Melting, Heaven, Like this forever"
*-*-*-*-*,*-*-*-00104,T26-00104,"오늘 하루, 내가 발견한 긍정 포인트는?","날씨, 커피, 작은 친절, 맛점",A positive thing you noticed today?,"Weather, Coffee, Small kindness, Delicious lunch"
*-*-*-*-*,*-*-*-00105,T26-00105,"딱 습관 하나만 고칠 수 있다면, 뭘 고칠래?","미루기 금지, 일찍 자기, 운동","If you could change just ONE habit, what would it be?","No more procrastination, Early to bed, Exercise"
*-*-*-*-*,*-*-*-00106,T26-00106,만약 0칼로리라면 뭐부터 먹을 거야?,"케이크, 마라탕, 햄버거, 피자","If calories didn't exist, what would you eat first?","Cake, spicy mala, hamburger, pizza"
*-*-*-*-*,*-*-*-00107,T26-00107,지친 하루 끝 기분 전환은?,"좋은 향기, 웃긴 영상, 맛난 거",What cheers you up after a long day?,"Good scents, funny videos, yummy food"
*-*-*-*-*,*-*-*-00108,T26-00108,한 달 푹 쉰다면 해보고 싶은 엉뚱한 짓은?,"무전여행, 삭발, 은둔생활","If you had a month off, what's one crazy thing you'd want to do?","Backpacking trip, shave my head, become a hermit"
*-*-*-*-*,*-*-*-00109,T26-00109,언젠가 꼭 배우고 싶은 것은?,"피아노, 수영, 춤, 코딩",What's something you really want to learn someday?,"Piano, swimming, dancing, coding"
*-*-*-*-*,*-*-*-00110,T26-00110,가장 편안하게 느껴지는 순간은?,"비 오는 날, 주말 아침, 잠들기 전",When do you feel most relaxed?,"Rainy days, weekend mornings, before sleep"
*-*-*-*-*,*-*-*-00111,T26-00111,나를 저절로 미소 짓게 하는 것은?,"아이들, 동물, 꽃, 통장 잔고",What always makes you smile?,"Kids, animals, flowers, bank balance"
*-*-*-*-*,*-*-*-00112,T26-00112,한 달 동안 딱 한 가지만 먹어야 한다면 뭐 먹을 건?,"질리지 않는 밥, 치킨, 고기","If you could only eat one thing for a month, 뭐 먹을 건?","Rice I won't get tired of, chicken, meat"
*-*-*-*-*,*-*-*-00113,T26-00113,고민이 생기면 제일 먼저 누구 찾는?,"친구, 엄마, 애인, 혼자 삭힘",Who do you turn to first when you're worried?,"Friend, mom, partner, bottle it up"
*-*-*-*-*,*-*-*-00114,T26-00114,호감 가는 상대의 행동은?,"매너, 잘 웃음, 경청, 맛집 추천",What's an attractive trait in someone you like?,"Good manners, good sense of humor, good listener, recommends good restaurants"
*-*-*-*-*,*-*-*-00115,T26-00115,요즘 가장 심란한 이유는?,"돈, 진로, 인간관계, 연애",What's stressing you out the most lately?,"Money, career path, relationships, dating"
*-*-*-*-*,*-*-*-00116,T26-00116,연애 고민은 주로 누구한테 털어놓는?,"절친, 형제자매, 커뮤니티",Who do you usually go to for relationship advice?,"Best friend, siblings, online forums"
*-*-*-*-*,*-*-*-00117,T26-00117,내 인생 최우선 가치는?,"행복, 자유, 돈, 사랑",What's the most important thing in your life?,"Happiness, freedom, money, love"
*-*-*-*-*,*-*-*-00118,T26-00118,나도 모르게 세대 차이를 느낄 때는?,"신조어 모를 때, 노래방 선곡",When do you really feel a generation gap?,"Not knowing slang, karaoke song choices"
*-*-*-*-*,*-*-*-00119,T26-00119,상대에게 호감 표현은 어떻게 하는 편?,"선물 공세, 칭찬, 연락 자주, 밥 사기",How do you tend to show someone you're interested?,"Gifts, compliments, frequent contact, buying meals"
*-*-*-*-*,*-*-*-00120,T26-00120,고민 털어놓는 대나무 숲은?,"친구, 일기장, 익명 게시판",Where do you vent your worries?,"Friend, diary, anonymous message boards"
*-*-*-*-*,*-*-*-00121,T26-00121,나의 성격을 한마디로 표현하자면?,"핵인싸, 집순이, 쫄보, 다혈질",How would you describe your personality in a nutshell?,"Social butterfly, Homebody, Scaredy-cat, Hothead"
*-*-*-*-*,*-*-*-00122,T26-00122,사랑에 빠지는 순간은?,"다정할 때, 일 잘할 때, 웃길 때",What makes you fall in love?,"Kindness, Competence, Humor"
*-*-*-*-*,*-*-*-00123,T26-00123,정말 심각한 고민은 누구랑 상의하는?,"부모님, 인생 선배, 전문가",Who do you talk to when you have serious worries?,"Parents, Mentor, Professional"
*-*-*-*-*,*-*-*-00124,T26-00124,나를 딱 한 단어로 정의한다면?,"자유영혼, 열정맨, 평화주의자",If you had to define yourself in one word?,"Free spirit, Passionate, Peacemaker"
*-*-*-*-*,*-*-*-00125,T26-00125,호감 가는 상대를 볼 때 뭘 제일 중요하게 보는?,"외모, 성격, 유머, 능력",What do you look for most in someone you're attracted to?,"Looks, Personality, Humor, Ability"
*-*-*-*-*,*-*-*-00126,T26-00126,진지한 상담이 필요할 때 누구를 찾는?,"믿는 친구, 멘토, 점집",Who do you turn to when you need advice?,"Trusted friend, Mentor, Fortune teller"
*-*-*-*-*,*-*-*-00127,T26-00127,자신감 뿜뿜하는 순간은?,"월급날, 꾸민 날, 칭찬 들을 때",When do you feel most confident?,"Payday, Dressed up, Getting praised"
*-*-*-*-*,*-*-*-00128,T26-00128,관심 있는 사람에게 주로 어떤 행동을 보이는?,"질문 폭탄, 아이컨택, 리액션",What kind of behavior do you usually show to someone you are interested in?,"Lots of questions, Eye contact, Reactions"
*-*-*-*-*,*-*-*-00129,T26-00129,혼자 조용히 나에 대해 생각하는 시간은?,"샤워할 때, 자기 전, 버스 안",When do you find time to think about yourself?,"In the shower, Before bed, On the bus"
*-*-*-*-*,*-*-*-00130,T26-00130,최근 설레게 한 도전은?,"새 프로젝트, 운동 시작, 썸",What's a challenge you've taken on recently that made you excited?,"New project, Starting to exercise, Flirting"
*-*-*-*-*,*-*-*-00131,T26-00131,관심 있다는 나만의 신호는?,"칼답장, 은근한 터치, 선물",What's your unique signal that you're interested in someone?,"Quick replies, Subtle touches, Gifts"
*-*-*-*-*,*-*-*-00132,T26-00132,우울모드 탈출하는 방법은?,"드라이브, 단거 먹기, 자기",What's your go-to method for snapping out of a bad mood?,"Drive, Eat sweets, Sleep"
*-*-*-*-*,*-*-*-00133,T26-00133,인생에서 절대 포기 못 하는 것은?,"자존심, 사랑, 야식, 휴식",What's something you'd never give up in life?,"Pride, Love, Late-night snacks, Rest"
*-*-*-*-*,*-*-*-00134,T26-00134,연애할 때 1순위는?,"믿음, 스킨십, 코드, 외모",What's your top priority in a relationship?,"Trust, Physical touch, Compatibility, Looks"
